problem_id,dataset,model,n_steps,duration,event,first_error_step,n_errors,final_correct,error_vector
gsm8k_0,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_1,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_2,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_3,gsm8k,llama3.2_3b,5,3,1,2.0,1,False,"[0, 0, 1, 0, 0]"
gsm8k_4,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_5,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_6,gsm8k,llama3.2_3b,4,4,1,3.0,1,True,"[0, 0, 0, 1]"
gsm8k_7,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 0, 1]"
gsm8k_8,gsm8k,llama3.2_3b,11,6,1,5.0,5,False,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
gsm8k_9,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_10,gsm8k,llama3.2_3b,4,2,1,1.0,3,False,"[0, 1, 1, 1]"
gsm8k_11,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_12,gsm8k,llama3.2_3b,6,2,1,1.0,4,False,"[0, 1, 1, 1, 1, 0]"
gsm8k_13,gsm8k,llama3.2_3b,7,2,1,1.0,2,False,"[0, 1, 0, 0, 1, 0, 0]"
gsm8k_14,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_15,gsm8k,llama3.2_3b,4,2,1,1.0,3,False,"[0, 1, 1, 1]"
gsm8k_16,gsm8k,llama3.2_3b,10,3,1,2.0,3,False,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
gsm8k_17,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_18,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_19,gsm8k,llama3.2_3b,7,2,1,1.0,1,False,"[0, 1, 0, 0, 0, 0, 0]"
gsm8k_20,gsm8k,llama3.2_3b,6,2,1,1.0,2,False,"[0, 1, 0, 1, 0, 0]"
gsm8k_21,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_22,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_23,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_24,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_25,gsm8k,llama3.2_3b,8,2,1,1.0,4,False,"[0, 1, 1, 1, 0, 1, 0, 0]"
gsm8k_26,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_27,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_28,gsm8k,llama3.2_3b,4,2,1,1.0,1,False,"[0, 1, 0, 0]"
gsm8k_29,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_30,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_31,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_32,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_33,gsm8k,llama3.2_3b,12,12,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_34,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
